"id","name","type","resource_version","release_tag","asset","url","md5","size","license","source_url","description","citation"
"annotation-schaefer2018-100parcels-7networks-order","Schaefer2018_100Parcels_7Networks_order","annotation","dev","prerelease","annotation-schaefer2018-100parcels-7networks-order.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/annotation-schaefer2018-100parcels-7networks-order.tar.gz","03f494428bece4521f927dac385bc015",669378,"unknown",NA,"Schaefer2018_100Parcels_7Networks_order annotation pair for fsaverage","Schaefer A, Kong R, Gordon EM, et al. (2018). Local-global parcellation of the human cerebral cortex from intrinsic functional connectivity MRI. Cerebral Cortex 28:3095-3114. doi:10.1093/cercor/bhx179."
"annotation-schaefer2018-100parcels-kong2022-17networks-order","Schaefer2018_100Parcels_Kong2022_17Networks_order","annotation","dev","prerelease","annotation-schaefer2018-100parcels-kong2022-17networks-order.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/annotation-schaefer2018-100parcels-kong2022-17networks-order.tar.gz","252f51c0b8fae7bc83ed256f66291cfe",672626,"unknown",NA,"Schaefer2018_100Parcels_Kong2022_17Networks_order annotation pair for fsaverage","Schaefer A, Kong R, Gordon EM, et al. (2018). Local-global parcellation of the human cerebral cortex from intrinsic functional connectivity MRI. Cerebral Cortex 28:3095-3114. doi:10.1093/cercor/bhx179; Kong R, et al. (2021). Individual-specific areal-level parcellations improve functional connectivity prediction of behavior. Cerebral Cortex 31:4477-4500. doi:10.1093/cercor/bhab101."
"annotation-schaefer2018-200parcels-17networks-order","Schaefer2018_200Parcels_17Networks_order","annotation","dev","prerelease","annotation-schaefer2018-200parcels-17networks-order.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/annotation-schaefer2018-200parcels-17networks-order.tar.gz","32883706d966149ff39d27eee4558198",639059,"unknown",NA,"Schaefer2018_200Parcels_17Networks_order annotation pair for fsaverage","Schaefer A, Kong R, Gordon EM, et al. (2018). Local-global parcellation of the human cerebral cortex from intrinsic functional connectivity MRI. Cerebral Cortex 28:3095-3114. doi:10.1093/cercor/bhx179."
"annotation-schaefer2018-200parcels-7networks-order","Schaefer2018_200Parcels_7Networks_order","annotation","dev","prerelease","annotation-schaefer2018-200parcels-7networks-order.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/annotation-schaefer2018-200parcels-7networks-order.tar.gz","442c4f77477c1d8b98e9f33b973774f9",638758,"unknown",NA,"Schaefer2018_200Parcels_7Networks_order annotation pair for fsaverage","Schaefer A, Kong R, Gordon EM, et al. (2018). Local-global parcellation of the human cerebral cortex from intrinsic functional connectivity MRI. Cerebral Cortex 28:3095-3114. doi:10.1093/cercor/bhx179."
"annotation-schaefer2018-200parcels-kong2022-17networks-order","Schaefer2018_200Parcels_Kong2022_17Networks_order","annotation","dev","prerelease","annotation-schaefer2018-200parcels-kong2022-17networks-order.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/annotation-schaefer2018-200parcels-kong2022-17networks-order.tar.gz","61fe2893a3dcaed7b61ba00761866d53",643134,"unknown",NA,"Schaefer2018_200Parcels_Kong2022_17Networks_order annotation pair for fsaverage","Schaefer A, Kong R, Gordon EM, et al. (2018). Local-global parcellation of the human cerebral cortex from intrinsic functional connectivity MRI. Cerebral Cortex 28:3095-3114. doi:10.1093/cercor/bhx179; Kong R, et al. (2021). Individual-specific areal-level parcellations improve functional connectivity prediction of behavior. Cerebral Cortex 31:4477-4500. doi:10.1093/cercor/bhab101."
"annotation-schaefer2018-300parcels-17networks-order","Schaefer2018_300Parcels_17Networks_order","annotation","dev","prerelease","annotation-schaefer2018-300parcels-17networks-order.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/annotation-schaefer2018-300parcels-17networks-order.tar.gz","7c7faff87e4f22f81696ecf1a4d654ff",640422,"unknown",NA,"Schaefer2018_300Parcels_17Networks_order annotation pair for fsaverage","Schaefer A, Kong R, Gordon EM, et al. (2018). Local-global parcellation of the human cerebral cortex from intrinsic functional connectivity MRI. Cerebral Cortex 28:3095-3114. doi:10.1093/cercor/bhx179."
"annotation-schaefer2018-300parcels-7networks-order","Schaefer2018_300Parcels_7Networks_order","annotation","dev","prerelease","annotation-schaefer2018-300parcels-7networks-order.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/annotation-schaefer2018-300parcels-7networks-order.tar.gz","fc2509127415151e28baf3cc581eed6a",640082,"unknown",NA,"Schaefer2018_300Parcels_7Networks_order annotation pair for fsaverage","Schaefer A, Kong R, Gordon EM, et al. (2018). Local-global parcellation of the human cerebral cortex from intrinsic functional connectivity MRI. Cerebral Cortex 28:3095-3114. doi:10.1093/cercor/bhx179."
"annotation-schaefer2018-300parcels-kong2022-17networks-order","Schaefer2018_300Parcels_Kong2022_17Networks_order","annotation","dev","prerelease","annotation-schaefer2018-300parcels-kong2022-17networks-order.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/annotation-schaefer2018-300parcels-kong2022-17networks-order.tar.gz","19109f08801f14b5fc36c18b685ea28f",645241,"unknown",NA,"Schaefer2018_300Parcels_Kong2022_17Networks_order annotation pair for fsaverage","Schaefer A, Kong R, Gordon EM, et al. (2018). Local-global parcellation of the human cerebral cortex from intrinsic functional connectivity MRI. Cerebral Cortex 28:3095-3114. doi:10.1093/cercor/bhx179; Kong R, et al. (2021). Individual-specific areal-level parcellations improve functional connectivity prediction of behavior. Cerebral Cortex 31:4477-4500. doi:10.1093/cercor/bhab101."
"annotation-schaefer2018-400parcels-17networks-order","Schaefer2018_400Parcels_17Networks_order","annotation","dev","prerelease","annotation-schaefer2018-400parcels-17networks-order.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/annotation-schaefer2018-400parcels-17networks-order.tar.gz","e9564f249b794bfc4ba1001ddb8f40e6",644437,"unknown",NA,"Schaefer2018_400Parcels_17Networks_order annotation pair for fsaverage","Schaefer A, Kong R, Gordon EM, et al. (2018). Local-global parcellation of the human cerebral cortex from intrinsic functional connectivity MRI. Cerebral Cortex 28:3095-3114. doi:10.1093/cercor/bhx179."
"annotation-schaefer2018-400parcels-7networks-order","Schaefer2018_400Parcels_7Networks_order","annotation","dev","prerelease","annotation-schaefer2018-400parcels-7networks-order.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/annotation-schaefer2018-400parcels-7networks-order.tar.gz","716c1e151f24dd71a44f067f0f888f6b",644399,"unknown",NA,"Schaefer2018_400Parcels_7Networks_order annotation pair for fsaverage","Schaefer A, Kong R, Gordon EM, et al. (2018). Local-global parcellation of the human cerebral cortex from intrinsic functional connectivity MRI. Cerebral Cortex 28:3095-3114. doi:10.1093/cercor/bhx179."
