"resource_id","role","path","md5"
"annotation-yeo2011-7networks-n1000","left","files/lh.Yeo2011_7Networks_N1000.annot","1dd843a6c4d1acedb49d139de01648cf"
"annotation-yeo2011-7networks-n1000","right","files/rh.Yeo2011_7Networks_N1000.annot","94e5ad58e1ea7fa9cdf7114bdf73f316"
"atlas-aicha-subcortex","atlas","files/AICHA_subcortex.rds","91b1034487703c3b6002517c4be360d5"
"atlas-aparc","atlas","files/aparc.rds","101dd217f8485ca8b9b3dabd4644ab8e"
"atlas-aparc-a2005s","atlas","files/aparc.a2005s.rds","e477ee8eaf3244b23c38cc9bc528c6d3"
"atlas-aparc-a2009s","atlas","files/aparc.a2009s.rds","98a4dc6d2c0d3ce6772e3106abedfbb9"
"atlas-aseg-subcortex","atlas","files/aseg_subcortex.rds","c693502d924b775c16580b0e4517eca0"
"atlas-brainnetome-subcortex","atlas","files/Brainnetome_subcortex.rds","a35934ee41ce8919e397d4e05016457c"
"atlas-brainstem-navigator","atlas","files/Brainstem_Navigator.rds","fe6f347a0f9efc918f4c3619f08e0c7a"
"atlas-cit168-subcortex","atlas","files/CIT168_subcortex.rds","7550638f6fe94b09c07339e76d4e68c3"
"atlas-hcp-mmp1","atlas","files/HCP-MMP1.rds","a71e6325a8b8e5d064e9c7d2097a2c98"
"atlas-ho-fsspace","atlas","files/HO_FSSpace.rds","9bf7d36dce5313f162362b87a54ff5df"
"atlas-melbourne-s1","atlas","files/Melbourne_S1.rds","c0b004db4b99fc89863cb07d2a9493ca"
"atlas-melbourne-s2","atlas","files/Melbourne_S2.rds","85eb73e38d0829cd172af37f51e40fba"
"atlas-melbourne-s3","atlas","files/Melbourne_S3.rds","c23b27c510ba4063b2cf73e44bf5c9f8"
"atlas-melbourne-s4","atlas","files/Melbourne_S4.rds","ea69a6a23ed7965a189a44f4a8c43ebe"
"atlas-pals-b12-brodmann","atlas","files/PALS_B12_Brodmann.rds","38ecad4c84edb531f4ff418bb3249a72"
"atlas-pals-b12-lobes","atlas","files/PALS_B12_Lobes.rds","0e9b032f94f95053c257a7a53727683b"
"atlas-schaefer2018-1000parcels-17networks-order","atlas","files/Schaefer2018_1000Parcels_17Networks_order.rds","81948871673d76e0c38ce9a501f78fb0"
"atlas-schaefer2018-1000parcels-7networks-order","atlas","files/Schaefer2018_1000Parcels_7Networks_order.rds","f7241d37eb6572ab5cb44cbc6e72599e"
"atlas-schaefer2018-100parcels-17networks-order","atlas","files/Schaefer2018_100Parcels_17Networks_order.rds","138efde10287c3853bd9e228691b0a80"
"atlas-schaefer2018-100parcels-7networks-order","atlas","files/Schaefer2018_100Parcels_7Networks_order.rds","ff4dc9be03fe173cb2761b5538f2f357"
"atlas-schaefer2018-200parcels-17networks-order","atlas","files/Schaefer2018_200Parcels_17Networks_order.rds","5602be4d1dbf21a769c82578a7b9652f"
"atlas-schaefer2018-200parcels-7networks-order","atlas","files/Schaefer2018_200Parcels_7Networks_order.rds","7eb7ef12b5abaa919129a80742cc1bd4"
"atlas-schaefer2018-300parcels-17networks-order","atlas","files/Schaefer2018_300Parcels_17Networks_order.rds","306cbb38e0cafe9026be3b53ebd4534e"
"atlas-schaefer2018-300parcels-7networks-order","atlas","files/Schaefer2018_300Parcels_7Networks_order.rds","d2c5495eae6cf0396e2c0fa338b3fbb7"
"atlas-schaefer2018-400parcels-17networks-order","atlas","files/Schaefer2018_400Parcels_17Networks_order.rds","6afd321a5a267cb189d55a1cdd2a6d17"
"atlas-schaefer2018-400parcels-7networks-order","atlas","files/Schaefer2018_400Parcels_7Networks_order.rds","3d8244330783356775b2c410cd330e9b"
"atlas-schaefer2018-500parcels-17networks-order","atlas","files/Schaefer2018_500Parcels_17Networks_order.rds","d9aed99c5017a40c58e7bb7bd57a0e25"
"atlas-schaefer2018-500parcels-7networks-order","atlas","files/Schaefer2018_500Parcels_7Networks_order.rds","d7072208d8a77918cf1fc5295159fb7b"
"atlas-schaefer2018-600parcels-17networks-order","atlas","files/Schaefer2018_600Parcels_17Networks_order.rds","c533b9994d0d19c5c3dc8ddf62c6f0f8"
"atlas-schaefer2018-600parcels-7networks-order","atlas","files/Schaefer2018_600Parcels_7Networks_order.rds","c033cee915a5db2679dfb89c63be72e4"
"atlas-schaefer2018-700parcels-17networks-order","atlas","files/Schaefer2018_700Parcels_17Networks_order.rds","95fa83abddb290bfb97f1ee50318151d"
"atlas-schaefer2018-700parcels-7networks-order","atlas","files/Schaefer2018_700Parcels_7Networks_order.rds","6f14d2eff514bf2b6cddde5e6c57bd0b"
"atlas-schaefer2018-800parcels-17networks-order","atlas","files/Schaefer2018_800Parcels_17Networks_order.rds","3d5db894161e9e788b6fefef402c610b"
"atlas-schaefer2018-800parcels-7networks-order","atlas","files/Schaefer2018_800Parcels_7Networks_order.rds","6baccf6d1bbbb1d08238264912a0571c"
"atlas-schaefer2018-900parcels-17networks-order","atlas","files/Schaefer2018_900Parcels_17Networks_order.rds","fd308efc65fc57fdf3c9943f650b874b"
"atlas-schaefer2018-900parcels-7networks-order","atlas","files/Schaefer2018_900Parcels_7Networks_order.rds","eaa2202bee0e40918af3a58f0a54b96a"
"atlas-suit-cerebellar-lobule","atlas","files/SUIT_cerebellar_lobule.rds","3f0c718d99787c2deda890160f5ac42c"
"atlas-thalamus-hcp","atlas","files/Thalamus_HCP.rds","675b847930ec72ad56b2a67c54bcaa43"
"atlas-thalamus-thomas","atlas","files/Thalamus_THOMAS.rds","d32a72f7514d6aff2340b099f939afac"
"atlas-yeo2011-17networks-n1000","atlas","files/Yeo2011_17Networks_N1000.rds","67994e265f15f1359ccda3c690a3483e"
"atlas-yeo2011-7networks-n1000","atlas","files/Yeo2011_7Networks_N1000.rds","76ba438745c5062320d6b7468dbbd4a2"
"mesh-aicha-subcortex","left","files/AICHA_subcortex_left.vtp","9fd7b1c50f922cc99ee66b15c1852f14"
"mesh-aicha-subcortex","right","files/AICHA_subcortex_right.vtp","aeffe839557fea4cc4b792a01e411176"
"mesh-aseg-subcortex","left","files/aseg_subcortex_left.vtp","91388a3a2b8597e62190ae489e867ad5"
"mesh-aseg-subcortex","right","files/aseg_subcortex_right.vtp","1c405e50bd80d928d7f72892f4d92279"
"mesh-brainnetome-subcortex","left","files/Brainnetome_subcortex_left.vtp","ef6ed541f31e79c666e3260bb9bd84e8"
"mesh-brainnetome-subcortex","right","files/Brainnetome_subcortex_right.vtp","bd9b234fd33c1e42eb90112c79a6eee3"
"mesh-brainstem-navigator","mesh","files/Brainstem_Navigator.vtp","167dacf96183748b7f31accd99aa7b24"
"mesh-brainstem-navigator-display","mesh","files/Brainstem_Navigator_display.vtp","e741427c1051a8101b8edd4e33b0c05f"
"mesh-brainstem-navigator-ellipsoids","mesh","files/Brainstem_Navigator_ellipsoids.vtp","58772717813c38407535c487280ac0b6"
"mesh-cit168-subcortex","left","files/CIT168_subcortex_left.vtp","6f3dd1426d17d2d6cb8a01ee0fc223a8"
"mesh-cit168-subcortex","right","files/CIT168_subcortex_right.vtp","c91c56084543a29e42a2f8fef8951da1"
"mesh-data-statemtl-241118-0","mesh","files/data_StateMTL_241118_0.vtp","56748330933c13ac9f7b89c58559ea9a"
"mesh-melbourne-s1","left","files/Melbourne_S1_left.vtp","ac85dccd7de7defe5b6b665920a4db80"
"mesh-melbourne-s1","right","files/Melbourne_S1_right.vtp","f6062f4428dab4f1d4fda80ae5bfdf60"
"mesh-melbourne-s2","left","files/Melbourne_S2_left.vtp","f3c0751cf7de44138b8ec9a59aa74ae1"
"mesh-melbourne-s2","right","files/Melbourne_S2_right.vtp","aa05d329326054e5b4505fda60b186f4"
"mesh-melbourne-s3","left","files/Melbourne_S3_left.vtp","139581940c625ef26af22c3a6ae15370"
"mesh-melbourne-s3","right","files/Melbourne_S3_right.vtp","4b3ba136a6442daff650b49292d7d3b0"
"mesh-melbourne-s4","left","files/Melbourne_S4_left.vtp","840f24c9a4b666984b3efe9acd4ce98d"
